Scientific_Name,English_Name,Tarsus_Length,Bill_Total_Length,Wing_Chord,Bill_Width,Bill_Depth,Wing_pointedness,Tail_Length,Gape_width
Cranioleuca dissita,Coiba Spinetail,16.76,14.35,61.64,3.16,3.86,13.88,61.75,7.05
Cranioleuca erythrops,Red-faced Spinetail,18.79,14.48,65.08,3.14,3.88,14.67,71.47,6.91
Cranioleuca gutturata,Speckled Spinetail,17.06,16.32,67.1,3.45,3.84,15.27,62.39,NA
Cranioleuca hellmayri,Streak-capped Spinetail,18.97,16.25,64.22,3.09,3.64,17.75,67.28,7.15
Cranioleuca henricae,Inquisivi Spinetail,18.65,15.9,66.67,2.73,3.77,17.27,68.17,7.8
Cranioleuca marcapatae,Marcapata Spinetail,22.42,18.15,67.62,3.06,3.96,10.03,75,NA
Cranioleuca muelleri,Scaled Spinetail,18.7,16.57,73.16,3.29,4.12,14.22,72.71,NA
Cranioleuca obsoleta,Olive Spinetail,17.3,13.85,56.4,2.5,3.3,15.95,64.5,NA
Cranioleuca pallida,Pallid Spinetail,16.78,15.32,61.28,2.64,3.42,17.21,64.16,NA
Cranioleuca pyrrhophia,Stripe-crowned Spinetail,18.08,15.38,62.12,2.67,3.35,15.56,68.25,5.78
Cranioleuca semicinerea,Grey-headed Spinetail,16.99,15.18,63.88,3.12,3.88,16.27,68.25,NA
Cranioleuca subcristata,Crested Spinetail,17.86,14.75,64.38,2.77,3.42,16.15,68,6.1
Cranioleuca vulpecula,Parker's Spinetail,19.64,17.2,69.03,3.39,4.19,14.74,63,7.97
Cranioleuca vulpina,Rusty-backed Spinetail,18.66,14.74,64.97,3.09,3.66,15.32,66.3,NA
Xenopipo holochlora,Green Manakin,14.92,14.04,71.05,4.04,4.4,20.11,45.23,8.97
Culicivora caudacuta,Sharp-tailed Grass Tyrant,15.28,11.65,40.62,3.55,3.15,17.18,49.5,NA
Cymbilaimus lineatus,Fasciated Antshrike,25.86,25.2,75.56,8.54,8.84,8.82,71.55,NA
Cymbilaimus sanctaemariae,Bamboo Antshrike,24.89,23.45,70.89,7.1,7.55,8.24,64.78,12.1
Cymbirhynchus macrorhynchos,Black-and-red Broadbill,24.63,26.12,100.94,13.61,12.54,18.92,80.5,NA
Deconychura longicauda,Long-tailed Woodcreeper,22.42,26.43,98.42,5.4,5.04,20.59,96.45,8.31
Deltarhynchus flammulatus,Flammulated Flycatcher,17.58,17.17,75.5,6.72,4.35,16.8,77.67,12.9
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,23.81,33.55,105.74,8.63,9.14,14.68,99.75,NA
Dendrocincla anabatina,Tawny-winged Woodcreeper,23.6,24.84,96.72,6.05,6.24,20.07,77.2,NA
Dendrocincla fuliginosa,Plain-brown Woodcreeper,23.35,29.02,102.86,6.48,7.09,18.22,84.17,12.5
Dendrocincla homochroa,Ruddy Woodcreeper,24.98,24.6,98.96,5.1,5.92,17.69,78.6,NA
Dendrocincla merula,White-chinned Woodcreeper,24.55,24.62,100.56,5.69,5.91,20.33,79.72,NA
Dendrocincla turdina,Plain-winged Woodcreeper,24.23,27.35,104.83,6.53,7.1,20.48,85.23,NA
Dendrocincla tyrannina,Tyrannine Woodcreeper,26.04,35.78,123.04,7.51,7.33,17.91,122,14.17
Dendrocolaptes certhia,Amazonian Barred Woodcreeper,27.41,40.9,126.6,9.43,8.02,17.92,123,NA
Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,29,39.8,136.03,8.46,8.3,18,122.75,NA
Dendrocolaptes picumnus,Black-banded Woodcreeper,28.83,42.83,131.92,8.86,8.5,17.02,124,NA
Dendrocolaptes platyrostris,Planalto Woodcreeper,25.69,36.04,118.82,9.34,8.18,16.75,112.15,NA
